lesotho,Lesotho,gb,x-gb,,-29.609988,28.233608,9,LES
liberia,Liberia,wb,h-rwb,,6.428055,-9.429499,8,LBR
libya,Libya,kr,e-gkr,,26.3351,17.228331,6,LBY
liechtenstein,Liechtenstein,wr,x-wr,,47.166,9.555373,10,LIE
lithuania,Lithuania,gy,x-gy,,55.169438,23.881275,8,LTU
luxembourg,Luxembourg,wr,x-wr,,49.815273,6.129583,10,LUX
macau,Macau,gw,x-gw,,22.198745,113.543873,12,MAC
northmacedonia~macedonia~fyrmacedonia,North Macedonia,yr,x-yr,,41.608635,21.745275,9,NMK
madagascar,Madagascar,wg,x-wg,,-18.766947,46.869107,6,MAD
malawi,Malawi,gr,x-gr,,-13.254308,34.301525,6,MWI
malaysia,Malaysia,ky,x-ky,,3.546991,108.9782616,7,MAS
maldives,Maldives,wr,h-wwr,,3.202778,73.22068,8,MDV
mali,Mali,wr,e-gry,,17.570692,-3.996166,6,MLI
malta,Malta,wr,x-wr,,35.937496,14.375416,10,MLT
martinique,Martinique,bw,x-bw,,14.641528,-61.024174,10,MTQ
mauritania,Mauritania,yg,x-yg,,21.00789,-10.940835,6,MTN
mauritius,Mauritius,rw,x-rw,,-20.348404,57.552152,8,MRI
mexico,Mexico,wg,x-wg,x153,23.634501,-102.552784,6,MEX
moldova,Moldova,yb,e-ryb,,47.411631,28.369885,8,MDA
mongolia,Mongolia,br,x-br,,46.862496,103.846656,6,MNG
montenegro,Montenegro,ur,x-ur,,42.708678,19.37439,9,MNE
montserrat,Montserrat,kg,x-kg,,16.742498,-62.187366,8,MSR
morocco,Morocco,gr,x-gr,x248,31.791702,-7.09262,7,MAR
mozambique,Mozambique,kr,x-kr,,-18.665695,35.529562,6,MOZ
myanmar,Myanmar,wr,x-wr,,21.913965,95.956223,6,MYA
namibia,Namibia,wr,x-wr,,-22.95764,18.49041,6,NAM
nepal,Nepal,wr,x-wr,,28.394857,84.124008,8,NEP
netherlands,Netherlands,wo,x-wo,x047,52.132633,5.291266,8,NED
newcaledonia,New Caledonia,rs,x-rs,,-20.904305,165.618042,8,NCL
newzealand,New Zealand,kw,x-kw,x154,-40.900557,174.885971,6,NZL
nicaragua,Nicaragua,wb,x-wb,,12.865416,-85.207229,8,NCA
niger,Niger,gw,e-gow,,17.607789,8.081666,6,NIG
nigeria,Nigeria,wg,x-wg,x243,9.081999,8.675277,7,NGA
northernireland~nireland,Northern Ireland,gw,x-gw,x120,54.6672763,-7.3625515,9,NIR
norway,Norway,nr,x-nr,,64.296139,8.7789911,5,NOR
oman,Oman,wr,x-wr,,21.512583,55.923255,7,OMA
