L,primeradivisionapertura,10,Primera Divisi&oacute;n - Apertura,
L,primeradivisionclausura,10,Primera Divisi&oacute;n - Clausura,
C,primeradivisiontorneodetransicion,12,Primera Divisi&oacute;n Torneo De Transicion,
C,primeradivisionaperturacopalibertadoresplayoff~primeradivisioncopalibertadoresplayoff,15,Copa Libertadores Playoff,
C,primeradivisionrelegationplayoff,13,Primera Divisi&oacute;n Relegation Playoff,
C,primeradivisionqualification,16,Primera Divisi&oacute;n Qualification,
			C,cup,100,Copa Chile,
N,CHN,China,530,china
C,supercup,1,Super Cup,
			L,superleague,10,Super League,
			L,superleaguegrpa,11,Super League Group A,
			L,superleaguegrpb,12,Super League Group B,
C,superleaguechampionshipplayoff,12,Super League Championship Playoff,
C,superleagueplacementmatches,12,Super League Placement Matches,
C,superleaguequalification~chinaleaguequalification,11,Super League Qualification,
C,cup,100,Chinese FA Cup,
N,COL,Colombia,620,colombia
L,primeraaapertura,10,Primera A - Apertura,
L,primeraaclausura,10,Primera A - Clausura,
L,primeraaliguillagrpa,11,Primera A - Liguilla Grupo A,
L,primeraaliguillagrpb,11,Primera A - Liguilla Grupo B,
L,primeraaliguillagrpc,11,Primera A - Liguilla Grupo C,
C,primeraaliguillafinalstage,12,Primera A - Liguilla Finals,
C,primeraaaperturafinalstage,12,Primera A Apertura Finals,
C,primeraaclausurafinalstage,12,Primera A Clausura Finals,
C,primeraaaperturaplayoffgrpa,12,Primera A Apertura Playoff Group A,
C,primeraaaperturaplayoffgrpb,12,Primera A Apertura Playoff Group B,
C,primeraaclausuraplayoffgrpa,12,Primera A Clausura Playoff Group A,
C,primeraaclausuraplayoffgrpb,12,Primera A Clausura Playoff Group B,
C,primeraacopasudamericanaplayoff,0,Primera A Copa Sudamericana Playoff, (COL)
C,primeraachampionshipfinal,15,Primera A Championship Final,
N,CRC,Costa Rica,430,costarica
L,primeradivisionapertura,10,Primera Division Apertura,
C,primeradivisionaperturafinalstage,11,Primera Division Apertura Finals,
L,primeradivisionclausura,10,Primera Division Clausura,
C,primeradivisionclausurafinalstage,11,Primera Division Clausura Finals,
L,primeratorneodeverano,20,Primera Torneo de Verano,
